name,port,date,rxb,txb,rxm,txm
el01gw02,1A_ETH_1,01/03/2016-06:00,469303,342128,0,0
el01gw02,1A_ETH_1,01/03/2016-06:15,514311,357276,0,0
el01gw02,1A_ETH_1,01/03/2016-06:30,564509,406211,0,0
el01gw02,1A_ETH_1,01/03/2016-06:45,632484,441506,0,0
el01gw02,1A_ETH_1,01/03/2016-07:00,666607,465606,0,0
el01gw02,1A_ETH_1,01/03/2016-07:15,673307,488439,0,0
el01gw02,1A_ETH_1,01/03/2016-07:30,722486,510979,0,0
el01gw02,1A_ETH_1,01/03/2016-07:45,768303,527572,0,0
el01gw02,1A_ETH_1,01/03/2016-08:00,979672,655136,0,0
el01gw02,1A_ETH_1,01/03/2016-08:15,955531,660711,0,0
el01gw02,1A_ETH_1,01/03/2016-08:30,1079176,788384,1,0
el01gw02,1A_ETH_1,01/03/2016-08:45,1105010,741170,1,0
el01gw02,1A_ETH_1,01/03/2016-09:00,1194967,874628,1,0
el01gw02,1A_ETH_1,01/03/2016-09:15,1267720,913100,1,0
el01gw02,1A_ETH_1,01/03/2016-09:30,1261416,984756,1,0
el01gw02,1A_ETH_1,01/03/2016-09:45,1266585,928218,1,0
el01gw02,1A_ETH_1,01/03/2016-10:00,1273555,974567,1,0
el01gw02,1A_ETH_1,01/03/2016-10:15,1290168,936764,1,0
el01gw02,1A_ETH_1,01/03/2016-10:30,1350376,978917,1,0
el01gw02,1A_ETH_1,01/03/2016-10:45,1250316,872364,1,0
el01gw02,1A_ETH_1,01/03/2016-11:00,1190182,811797,1,0
el01gw02,1A_ETH_1,01/03/2016-11:15,1269504,841593,1,0
el01gw02,1A_ETH_1,01/03/2016-11:30,1224577,890595,1,0
el01gw02,1A_ETH_1,01/03/2016-11:45,1286764,947674,1,0
el01gw02,1A_ETH_1,01/03/2016-12:00,1168295,803386,1,0
el01gw02,1A_ETH_1,01/03/2016-12:15,1168802,764386,1,0
el01gw02,1A_ETH_1,01/03/2016-12:30,1111091,763048,1,0
el01gw02,1A_ETH_1,01/03/2016-12:45,1257795,805097,1,0
el01gw02,1A_ETH_1,01/03/2016-13:00,1179106,943900,1,0
el01gw02,1A_ETH_1,01/03/2016-13:15,1197325,968679,1,0
el01gw02,1A_ETH_1,01/03/2016-13:30,1173519,944935,1,0
el01gw02,1A_ETH_1,01/03/2016-13:45,1157629,962310,1,0
el01gw02,1A_ETH_1,01/03/2016-14:00,1191649,899010,1,0
el01gw02,1A_ETH_1,01/03/2016-14:15,1188371,842180,1,0
el01gw02,1A_ETH_1,01/03/2016-14:30,1288283,907867,1,0
el01gw02,1A_ETH_1,01/03/2016-14:45,1160591,888674,1,0
el01gw02,1A_ETH_1,01/03/2016-15:00,1242361,931463,1,0
el01gw02,1A_ETH_1,01/03/2016-15:15,1200216,861603,1,0
el01gw02,1A_ETH_1,01/03/2016-15:30,1190754,931690,1,0
el01gw02,1A_ETH_1,01/03/2016-15:45,1291509,892722,1,0
el01gw02,1A_ETH_1,01/03/2016-16:00,1204517,854814,1,0
el01gw02,1A_ETH_1,01/03/2016-16:15,1230798,876613,1,0
el01gw02,1A_ETH_1,01/03/2016-16:30,1424074,994449,1,0
el01gw02,1A_ETH_1,01/03/2016-16:45,1305477,1041553,1,0
el01gw02,1A_ETH_1,01/03/2016-17:00,1285013,1048655,1,1
el01gw02,1A_ETH_1,01/03/2016-17:15,1326866,1007121,1,0
el01gw02,1A_ETH_1,01/03/2016-17:30,1281246,928948,1,0
el01gw02,1A_ETH_1,01/03/2016-17:45,1329198,909371,1,0
el01gw02,1A_ETH_1,01/03/2016-18:00,1288159,912377,1,0
el01gw02,1A_ETH_1,01/03/2016-18:15,1312106,958454,1,0
el01gw02,1A_ETH_1,01/03/2016-18:30,1320786,957407,1,0
el01gw02,1A_ETH_1,01/03/2016-18:45,1342920,997677,1,0
el01gw02,1A_ETH_1,01/03/2016-19:00,1396429,1003946,1,0
el01gw02,1A_ETH_1,01/03/2016-19:15,1383462,988036,1,0
el01gw02,1A_ETH_1,01/03/2016-19:30,1376320,998738,1,0
el01gw02,1A_ETH_1,01/03/2016-19:45,1335604,918400,1,0
el01gw02,1A_ETH_1,01/03/2016-20:00,1340236,960281,1,0
el01gw02,1A_ETH_1,01/03/2016-20:15,1266516,878807,1,0
el01gw02,1A_ETH_1,01/03/2016-20:30,1202865,863014,1,0
el01gw02,1A_ETH_1,01/03/2016-20:45,1061206,753130,1,0
el01gw02,1A_ETH_1,01/03/2016-21:00,976177,777352,0,0
el01gw02,1A_ETH_1,01/03/2016-21:15,846033,633559,0,0
el01gw02,1A_ETH_1,01/03/2016-21:30,722605,605480,0,0
el01gw02,1A_ETH_1,01/03/2016-21:45,609004,501334,0,0
el01gw02,1A_ETH_1,01/03/2016-22:00,524845,470153,0,0
el01gw02,1A_ETH_1,01/03/2016-22:15,463780,419569,0,0
